"Restaurant_Name","Critical_Flag_Proportion","Latitude","Longitude","Grade"
"WE VILLAGE CORP",1,40.764825685875,-73.811786182678,"bad"
"PEPERINO",0.928571428571429,40.74665432138,-73.980359852787,"bad"
"IN CHA/TASTE OF GUILIN",0.923076923076923,40.636716261431,-74.01185035143,"bad"
"Boishakhi Restaurant",0.916666666666667,40.679918106533,-73.861290588843,"bad"
"SWEET CATS CAFE",0.916666666666667,40.723016591607,-73.799973989134,"bad"
"DA NICO RESTAURANT",0.909090909090909,40.719823145948,-73.997092326151,"bad"
"JJ BROWN CUP",0.909090909090909,40.779420536126,-73.95062623183,"bad"
"XI JIANG QIAN HU NOODLE INC",0.909090909090909,40.757348554116,-73.829075639723,"bad"
"KENKA",0.866666666666667,40.728962681488,-73.988522848659,"bad"
"QUEENS BUFFET",0.866666666666667,40.687188609605,-73.852174447288,"bad"
"SWEET HOUR",0.866666666666667,40.755675347566,-73.73919627641,"bad"
"BAAR BAAR",0.863636363636364,40.724516414766,-73.991435104559,"bad"
"ESTRELLITA POBLANA # 1",0.857142857142857,0,0,"bad"
"MASALA KING",0.857142857142857,40.74746708561,-73.98229405694,"bad"
"QUATORZE",0.857142857142857,40.77437591486,-73.951182393452,"bad"
"TEA CUP CAFE",0.857142857142857,40.743448187073,-73.888599306174,"bad"
"VILLAGE SQUARE PIZZA",0.857142857142857,40.727405647501,-73.982559179975,"bad"
"YONG KANG STREET",0.857142857142857,40.609928854538,-73.922281617072,"bad"
"BOBO RESTAURANT",0.846153846153846,40.734290812313,-74.002724283182,"bad"
"DA NONNA ROSA",0.846153846153846,40.67280834708,-73.976657735096,"bad"
"LA CATRINA II",0.846153846153846,40.853852521707,-73.84343786915,"bad"
"MR. CAPRI",0.846153846153846,40.733047452443,-73.998217522274,"bad"
"NIKKO",0.846153846153846,40.811383237945,-73.957733540135,"bad"
"POSITANO",0.846153846153846,40.612519324609,-74.033924551021,"bad"
"QUEENS SEAFOOD RESTAURANT",0.846153846153846,40.741633416978,-73.88261186975,"bad"
"ROSALIA'S CAFE",0.846153846153846,40.675953529714,-73.949917203164,"bad"
"SECRET KITCHEN",0.846153846153846,40.73993215109,-73.788985225872,"bad"
"TART TART HOUSE",0.846153846153846,40.755528886209,-73.814988899493,"bad"
"TAVOLA",0.846153846153846,40.755480288427,-73.9947662622,"bad"
"ATOMIC WINGS, BURGER HOLE",0.833333333333333,40.70779845255,-73.802504978857,"bad"
"BRASSERIE COGNAC EAST",0.833333333333333,40.769195515158,-73.963081883583,"bad"
"CHICKEN RANCH",0.833333333333333,40.863092608039,-73.927320861195,"bad"
"DOUGLASTON MANOR",0.833333333333333,40.754571762977,-73.728466134203,"bad"
"FOUR FOUR SOUTH VILLAGE TAIPEI BEEF NOODLES",0.833333333333333,40.760065532492,-73.832570079278,"bad"
"GO BELIEVE BAKERY",0.833333333333333,40.718368327902,-73.994581599969,"bad"
"HONEY'S THAI PAVILION",0.833333333333333,40.84794513154,-73.831296204969,"bad"
"MALONES IRISH PUB & RESTAURANT",0.833333333333333,40.751810393354,-73.973695605388,"bad"
"NEW JADE GARDEN",0.833333333333333,40.711141835391,-73.791782025166,"bad"
"POKEGREEN",0.833333333333333,40.705863034465,-74.007617513876,"bad"
"POLLO SABROSO DEL VALLE EXPRESS",0.833333333333333,40.832075650317,-73.903045867725,"bad"
"MCCARTHY'S",0.272727272727273,40.757924810455,-73.983558238563,"good"
"MI SABOR CAFE",0.272727272727273,40.697479457454,-73.936171699303,"good"
"MISSION BUENA NUTRICION",0.272727272727273,40.758506287996,-73.865822448006,"good"
"RED KUP",0.272727272727273,40.824173678948,-73.944663610809,"good"
"ROCCO'S PIZZA",0.272727272727273,40.741847174733,-74.000981575352,"good"
"SABOR A MEXICO",0.272727272727273,40.779644143937,-73.947336635833,"good"
"SCHNIPPERS",0.272727272727273,40.756918006477,-73.972065672336,"good"
"THE BLUE MEZZE BAR",0.272727272727273,40.772195732225,-73.955870276672,"good"
"THE GRUMPY CAT BAR",0.272727272727273,40.638694454048,-74.017961617546,"good"
"YUPDDUK",0.272727272727273,40.763691248051,-73.807959265524,"good"
"CORK WINE BAR",0.266666666666667,40.724352007366,-74.003073830174,"good"
"DUN HUANG",0.266666666666667,40.605593732079,-73.997208961829,"good"
"Max's Restaurant",0.266666666666667,40.745958578646,-73.89624247683,"good"
"SUSHI DAIRO",0.266666666666667,40.735925778557,-73.985270466328,"good"
"YVES GARDEN CAFE",0.266666666666667,40.638644284589,-73.951173980611,"good"
"CAFE TABU",0.25,40.592988885852,-73.948028111643,"good"
"COOKIES AND CREAM PASTRY SHOP",0.25,40.706033075142,-73.831433115006,"good"
"DOMINO'S PIZZA #3692",0.25,40.793799522071,-73.943034860812,"good"
"HENDRICKSON'S",0.25,40.761191046094,-73.960801343253,"good"
"Jet's Pizza",0.25,40.793713828975,-73.970623608745,"good"
"NORTH COAST SHARK AND BAKE",0.25,40.651936496153,-73.93332154598,"good"
"ORCHARD BEACH SNACK BAR SECTION 10",0.25,40.865153252788,-73.80283849787,"good"
"PANDA EXPRESS #2622",0.25,40.760892706706,-73.990838406821,"good"
"QUICKLY",0.25,40.740905866742,-73.879780338769,"good"
"The Oma",0.25,40.824866847837,-73.94785714808,"good"
"Y J FRIED FISH",0.25,40.707381003129,-73.796093206635,"good"
"ZIBETTO ESPRESSO BAR",0.25,40.763849724916,-73.977546237254,"good"
"ARAMARK @ ACCENTURE #19261",0.230769230769231,40.752271747319,-73.997123388043,"good"
"CABANA JORGE RESTAURANT",0.230769230769231,40.703002043065,-73.908041941512,"good"
"CIBO EXPRESS GOURMET MARKET",0.210526315789474,40.648312826068,-73.788281497594,"good"
"BRONSON'S BURGERS",0.2,40.723144273505,-73.995778971973,"good"
"HALAL GRILL EATS",0.2,40.734465586593,-73.873686700036,"good"
"CITI FIELD STERLING KITCHEN",0.181818181818182,0,0,"good"
"KEKI MODERN CAKES",0.181818181818182,40.716425142794,-73.998008742158,"good"
"LAZY SUNDAES",0.181818181818182,40.702371043699,-73.985671026828,"good"
"PROPER FOOD",0.176470588235294,40.705415567507,-74.008598499393,"good"
"CRISPY",0.166666666666667,40.711569533339,-73.994524441369,"good"
"PENNYLANE COFFEE",0.166666666666667,40.751576281339,-73.970382395507,"good"
"AGUA E' COCO BAR & GRILL",0.0909090909090909,40.83803368535,-73.834946254618,"good"
"RADIO CITY MUSIC HALL",0.0869565217391304,40.759982874835,-73.980348688068,"good"
